0.624066f, 0.281013f, 0.769749f, 0.907743f, 0.777510f, 
0.945334f, 0.087578f, 0.142594f, 0.443869f, 0.624517f, 
0.871758f, 0.026574f, 0.384036f, 0.982823f, 0.082154f, 
0.782123f, 0.910226f, 0.515094f, 0.939403f, 0.567777f, 
0.288428f, 0.522110f, 0.472662f, 0.729489f, 0.813265f, 


0.666393f, 0.454333f, 0.103009f, 0.365292f, 0.966385f, 
0.581866f, 0.953136f, 0.467855f, 0.743552f, 0.576173f, 
0.362678f, 0.282393f, 0.728172f, 0.983473f, 0.545053f, 
0.999883f, 0.782509f, 0.212702f, 0.596009f, 0.193493f, 
0.325498f, 0.483014f, 0.167575f, 0.017160f, 0.531263f, 


2.019271f, 1.854614f, 1.079638f, 1.748306f, 1.773257f, 
1.379735f, 1.202220f, 0.441251f, 0.825946f, 1.459407f, 
1.745127f, 1.338595f, 0.604692f, 1.303075f, 1.300900f, 
2.361747f, 2.377707f, 1.176455f, 2.038720f, 2.044440f, 
1.661548f, 1.725811f, 0.909609f, 1.407165f, 1.410393f, 


